id,name,pdf_url
94926286,رجال العدالة الأربعة,https://www.hindawi.org/books/94926286.pdf
15847036,الصحافة في العراق,https://www.hindawi.org/books/15847036.pdf
91631920,نسيج,https://www.hindawi.org/books/91631920.pdf
41390640,فرَّان البندقية: مأساة ذات خمسة فصول,https://www.hindawi.org/books/41390640.pdf
42620818,المُلاحَق: المسيحي الأخير,https://www.hindawi.org/books/42620818.pdf
74859409,الزيارة المدهشة,https://www.hindawi.org/books/74859409.pdf
84806975,في انتظار سانتا,https://www.hindawi.org/books/84806975.pdf
29690479,كلمات في الأدب,https://www.hindawi.org/books/29690479.pdf
46035041,مصر في مطلع القرن التاسع عشر ١٨٠١–١٨١١م (الجزء الثاني),https://www.hindawi.org/books/46035041.pdf
53192524,ماسة,https://www.hindawi.org/books/53192524.pdf
30591927,مثل ذئب يعوي تحت القمر: نصوص شعرية فلسفية,https://www.hindawi.org/books/30591927.pdf
61463816,النَّدَّاهة‎,https://www.hindawi.org/books/61463816.pdf
27171803,القفل العجيب,https://www.hindawi.org/books/27171803.pdf
50839406,حساء الفراشات: مجموعة نثرية,https://www.hindawi.org/books/50839406.pdf
79269090,خالد بن الوليد,https://www.hindawi.org/books/79269090.pdf
80508137,ساي,https://www.hindawi.org/books/80508137.pdf
46179681,مجلس العدالة,https://www.hindawi.org/books/46179681.pdf
93813583,مقدمة لدراسة بلاغة العرب,https://www.hindawi.org/books/93813583.pdf
84062702,مهندسو الخيال,https://www.hindawi.org/books/84062702.pdf
59164131,فارس آغا,https://www.hindawi.org/books/59164131.pdf
83159415,المُحقق الخاص: مجموعة تجليات من واقع قضايا الشرطة‎,https://www.hindawi.org/books/83159415.pdf
39483851,الصوت المتحدث من الثلاجة: مجموعة قصصية,https://www.hindawi.org/books/39483851.pdf
96293159,لا يفتحون التوابيت,https://www.hindawi.org/books/96293159.pdf
50246818,سنوات الثقب الأسود,https://www.hindawi.org/books/50246818.pdf
48619149,مغامرات الدكتور ثورندايك: العظمة المُغنِّية,https://www.hindawi.org/books/48619149.pdf
70304152,المكان الضائع في سرديات الرواية الأفريقية,https://www.hindawi.org/books/70304152.pdf
19413607,أفنيتُ عمري واقفًا,https://www.hindawi.org/books/19413607.pdf
85379741,عضة كلب: مجموعة قصصية,https://www.hindawi.org/books/85379741.pdf
53062838,صندوق لا يتسع للأحلام: مجموعة قصصية,https://www.hindawi.org/books/53062838.pdf
31828428,الحنين الباكي: شعر بالعامية,https://www.hindawi.org/books/31828428.pdf
93029537,إيفانهو,https://www.hindawi.org/books/93029537.pdf
30979407,مناوشات,https://www.hindawi.org/books/30979407.pdf
82731791,مرور في أرض الهناء ونبأ من عالم البقاء,https://www.hindawi.org/books/82731791.pdf
16180462,في فلسفة النقد,https://www.hindawi.org/books/16180462.pdf
29392697,المتوالي الصالح,https://www.hindawi.org/books/29392697.pdf
50814758,الضباب,https://www.hindawi.org/books/50814758.pdf
19369524,جمال الدين الأفغاني : ذكريات وأحاديث,https://www.hindawi.org/books/19369524.pdf
18531604,سعد في حياته الخاصة,https://www.hindawi.org/books/18531604.pdf
52028503,الآثار المصرية في الأدب العربي,https://www.hindawi.org/books/52028503.pdf
16827486,الحياة لنا,https://www.hindawi.org/books/16827486.pdf
83579057,ثورة الشعر الحديث من بودلير إلى العصر الحاضر (الجزء الأول) : الدراسة,https://www.hindawi.org/books/83579057.pdf
